lon,lat,elevation,som,moisture,temp,B01_1,B02_1,B03_1,B04_1,B05_1,B06_1,B07_1,B08_1,B09_1,B11_1,B12_1,B8A_1
142.1339374,-36.74424361,416.34,2.395,31.35,74.55,1872.0,2309.0,2587.0,3089.0,3264.0,3392.0,3520.0,3749.0,3840.0,5056.0,4032.0,3776.0
142.1338668,-36.74421119,416.34,2.255,31.95,75.28,1872.0,2309.0,2587.0,3089.0,3264.0,3392.0,3520.0,3749.0,3840.0,5056.0,4032.0,3776.0
142.1338244,-36.74416044,416.34,2.265,32.2,73.65,1872.0,2182.0,2372.0,2851.0,3264.0,3392.0,3520.0,3380.0,3840.0,5056.0,4032.0,3776.0
142.13381,-36.7441036,416.34,2.22,30.73,73.9,1872.0,2182.0,2372.0,2851.0,3264.0,3392.0,3520.0,3380.0,3840.0,5056.0,4032.0,3776.0
142.1338146,-36.74404507,416.01,2.435,30.03,73.65,1936.0,2128.0,2335.0,2738.0,3008.0,3136.0,3264.0,3361.0,3840.0,4928.0,3904.0,3648.0
142.1338401,-36.74399008,416.01,2.17,31.08,73.78,1936.0,2128.0,2335.0,2738.0,3008.0,3136.0,3264.0,3361.0,3840.0,4928.0,3904.0,3648.0
142.1338829,-36.74394111,416.01,2.31,31.73,74.13,1936.0,2184.0,2379.0,2851.0,3008.0,3136.0,3264.0,3490.0,3840.0,4928.0,3904.0,3648.0
142.1339434,-36.74390111,416.01,1.955,31.82,75.05,1936.0,2184.0,2379.0,2851.0,3008.0,3136.0,3264.0,3490.0,3840.0,4928.0,3904.0,3648.0
142.134014,-36.74388626,416.01,2.07,31.75,75.83,1936.0,2216.0,2467.0,2951.0,3264.0,3264.0,3520.0,3642.0,3840.0,4928.0,4032.0,3648.0
142.134085,-36.74389047,416.01,1.965,32.42,75.88,1936.0,2271.0,2457.0,2913.0,3264.0,3264.0,3520.0,3557.0,3840.0,4928.0,4032.0,3648.0
142.1341532,-36.74390892,416.01,1.98,32.1,74.75,1936.0,2193.0,2486.0,2946.0,3136.0,3264.0,3392.0,3530.0,3840.0,5056.0,3904.0,3776.0
142.1342178,-36.74394072,415.68,2.03,31.98,75.83,1904.0,2291.0,2554.0,3035.0,3392.0,3520.0,3648.0,3650.0,3840.0,5184.0,4160.0,3904.0
142.1342644,-36.74398743,416.01,1.99,32.02,75.83,1904.0,2344.0,2635.0,3155.0,3392.0,3520.0,3648.0,3811.0,3840.0,5184.0,4160.0,3904.0
142.1342893,-36.74404296,416.01,1.98,30.5,76.75,1904.0,2344.0,2635.0,3155.0,3392.0,3520.0,3648.0,3811.0,3840.0,5184.0,4160.0,3904.0
142.134297,-36.74406688,416.01,1.9,28.13,77.98,1904.0,2344.0,2635.0,3155.0,3392.0,3520.0,3648.0,3811.0,3840.0,5184.0,4160.0,3904.0
142.1342973,-36.74406658,416.01,1.9,28.13,77.43,1904.0,2344.0,2635.0,3155.0,3392.0,3520.0,3648.0,3811.0,3840.0,5184.0,4160.0,3904.0
142.1342974,-36.74406668,416.01,1.9,28.13,75.35,1904.0,2344.0,2635.0,3155.0,3392.0,3520.0,3648.0,3811.0,3840.0,5184.0,4160.0,3904.0
